"skills","total_appearance"
"sql","9"
"python","8"
"excel","6"
"r","3"
"bigquery","3"
"tableau","3"
"power bi","1"
"powerpoint","1"
"slack","1"
"sql server","1"
"asana","1"
"word","1"
"aws","1"
"gitlab","1"
"hadoop","1"
"javascript","1"
"looker","1"
